verb,global quantity,quantity unit,thing,time unit,source,note,relative probability,per capita,per lifetime,per year,per month,per week,per day,per hour,per minute,per second
farms,1.19E+09,square meters,blueberries cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,0.15,,,,,,,,
farms,1.11E+09,square meters,sugar crops nes cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,0.14,,,,,,,,
farms,1.04E+09,square meters,mushrooms and truffles cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,0.13,,,,,,,,
farms,1.02E+09,square meters,vanilla cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,0.13,,,,,,,,
farms,9.96E+08,square meters,hops cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,0.13,,,,,,,,
farms,9.37E+08,square meters,quinces cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,0.12,,,,,,,,
farms,7.48E+08,square meters,"fruit, stone nes cropland",,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,0.095,,,,,,,,
farms,6.93E+08,square meters,hemp tow waste cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,0.088,,,,,,,,
farms,6.44E+08,square meters,agave fibres nes cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,0.082,,,,,,,,
farms,5.61E+08,square meters,poppy seed cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,0.072,,,,,,,,
farms,4.14E+08,square meters,cranberries cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,0.053,,,,,,,,
farms,4.01E+08,square meters,yautia (cocoyam) cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,0.051,,,,,,,,
farms,3.16E+08,square meters,ramie cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,0.040,,,,,,,,
farms,2.81E+08,square meters,"pyrethrum, dried cropland",,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,0.036,,,,,,,,
farms,2.33E+08,square meters,hempseed cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,0.030,,,,,,,,
farms,1.65E+08,square meters,"fruit, pome nes cropland",,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,0.021,,,,,,,,
farms,1.49E+08,square meters,gooseberries cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,0.019,,,,,,,,
farms,1.44E+08,square meters,carobs cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,0.018,,,,,,,,
farms,1.21E+08,square meters,"brazil nuts, with shell cropland",,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,0.015,,,,,,,,
farms,2.78E+07,square meters,peppermint cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,0.0035,,,,,,,,
farms,1.16E+07,square meters,chicory roots cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,0.0015,,,,,,,,
farms,2.98E+06,square meters,jojoba seed cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,0.00038,,,,,,,,
farms,0.00E+00,square meters,coir cropland,,[United Nations Food and Agriculture Organization (2019)](http://www.fao.org/faostat/en/#data/QC),,1,#NUM!,,,,,,,,
