url,fact,unit,source,note
grapes,consumes 19.9 pounds of grapes per year,,"[2019 Statistical Report on Vitiviniculture](http://oiv.int/public/medias/6782/oiv-2019-statistical-report-on-world-vitiviniculture.pdf), [World Population Clock (2020)](https://www.worldometers.info/world-population/)",Assumes no wastage or net storage.
wine_grapes,drinks 11.3 pounds of wine grapes per year,,"[2019 Statistical Report on Vitiviniculture](http://oiv.int/public/medias/6782/oiv-2019-statistical-report-on-world-vitiviniculture.pdf), [World Population Clock (2020)](https://www.worldometers.info/world-population/)",Assumes no wastage or net storage.
table_grapes,eats 7.1 pounds of table grapes per year,,"[2019 Statistical Report on Vitiviniculture](http://oiv.int/public/medias/6782/oiv-2019-statistical-report-on-world-vitiviniculture.pdf), [World Population Clock (2020)](https://www.worldometers.info/world-population/)",Assumes no wastage or net storage.
dried_grapes,eats 1.4 pounds of dried grapes per year,,"[2019 Statistical Report on Vitiviniculture](http://oiv.int/public/medias/6782/oiv-2019-statistical-report-on-world-vitiviniculture.pdf), [World Population Clock (2020)](https://www.worldometers.info/world-population/)",Wet weight. Assumes no wastage or net storage.
vineyards,owns 9.4 square meters of vineyards,,"[2019 Statistical Report on Vitiviniculture](http://oiv.int/public/medias/6782/oiv-2019-statistical-report-on-world-vitiviniculture.pdf), [World Population Clock (2020)](https://www.worldometers.info/world-population/)",Assumes no wastage or net storage.
